"Index" "US_CPI" "US_CPI_CORE" "US_CPI_FOOD_BEVERAGES" "US_CPI_HOUSING" "US_CPI_TRANSPORT" "US_CPI_MED_CARE" "US_CPI_GOODS_SERVICES"
"1975-03-31" "1975-03-31" 52.8 53 58.9 49.7 48.7 46.3 53.3
"1975-04-30" "1975-04-30" 53 53.3 58.8 50 48.8 46.7 53.5
"1975-05-31" "1975-05-31" 53.1 53.5 59 50.2 48.9 47 53.7
"1975-06-30" "1975-06-30" 53.5 53.8 59.6 50.5 49.4 47.4 53.8
"1975-07-31" "1975-07-31" 54 54 60.6 50.7 50.2 47.8 54.1
"1975-08-31" "1975-08-31" 54.2 54.2 60.7 51 50.6 48.1 54.2
"1975-09-30" "1975-09-30" 54.6 54.5 61 51.3 51.4 48.5 54.3
"1975-10-31" "1975-10-31" 54.9 54.8 61.6 51.5 51.7 48.9 54.6
"1975-11-30" "1975-11-30" 55.3 55.2 62 52 52.4 48.8 54.8
"1975-12-31" "1975-12-31" 55.6 55.5 62.3 52.3 52.6 49.3 55.3
"1976-01-31" "1976-01-31" 55.8 55.9 62.2 52.6 53 49.7 55.6
"1976-02-29" "1976-02-29" 55.9 56.2 61.6 52.8 53.3 50.2 56.1
"1976-03-31" "1976-03-31" 56 56.5 61.3 52.9 53.8 50.7 56.2
"1976-04-30" "1976-04-30" 56.1 56.7 61.3 53.1 54 51 56.5
"1976-05-31" "1976-05-31" 56.4 57 61.6 53.2 54.3 51.4 56.7
"1976-06-30" "1976-06-30" 56.7 57.2 61.7 53.5 54.8 51.8 56.9
"1976-07-31" "1976-07-31" 57 57.6 62 53.8 55.1 52.3 57.1
"1976-08-31" "1976-08-31" 57.3 57.9 62.2 54.1 55.4 52.6 57.3
"1976-09-30" "1976-09-30" 57.6 58.2 62.5 54.4 56 53 57.5
"1976-10-31" "1976-10-31" 57.9 58.5 62.8 54.6 56.6 53.2 57.8
"1976-11-30" "1976-11-30" 58.1 58.7 62.8 54.8 57 53.9 58.2
"1976-12-31" "1976-12-31" 58.4 58.9 62.9 55.1 57.3 54.2 58.5
"1977-01-31" "1977-01-31" 58.7 59.3 63.1 55.6 57.8 54.6 58.9
"1977-02-28" "1977-02-28" 59.3 59.7 64.2 55.9 58.2 54.9 59.1
"1977-03-31" "1977-03-31" 59.6 60 64.5 56.2 58.7 55.5 59.3
"1977-04-30" "1977-04-30" 60 60.3 65.2 56.5 59 56 59.6
"1977-05-31" "1977-05-31" 60.2 60.6 65.5 56.8 59.1 56.5 59.8
"1977-06-30" "1977-06-30" 60.5 61 65.9 57.1 59.1 57 60.2
"1977-07-31" "1977-07-31" 60.8 61.2 66.1 57.6 59 57.3 60.5
"1977-08-31" "1977-08-31" 61.1 61.5 66.4 57.9 58.9 57.7 60.6
"1977-09-30" "1977-09-30" 61.3 61.8 66.6 58.3 59.1 58.2 60.9
"1977-10-31" "1977-10-31" 61.6 62 66.8 58.6 59.3 58.4 61.5
"1977-11-30" "1977-11-30" 62 62.3 67.4 59 59.5 58.6 62
"1977-12-31" "1977-12-31" 62.3 62.7 67.5 59.4 59.8 59 62.2
"1978-01-31" "1978-01-31" 62.7 63.1 68.1 59.7 60.1 59.3 62.5
"1978-02-28" "1978-02-28" 63 63.4 68.8 60.1 60.2 59.9 62.7
"1978-03-31" "1978-03-31" 63.4 63.8 69.6 60.5 60.3 60.2 62.9
"1978-04-30" "1978-04-30" 63.9 64.3 70.7 61 60.4 60.7 63.2
"1978-05-31" "1978-05-31" 64.5 64.7 71.7 61.6 60.7 61.1 63.6
"1978-06-30" "1978-06-30" 65 65.2 72.8 62.1 61.1 61.5 63.9
"1978-07-31" "1978-07-31" 65.5 65.6 73.1 62.7 61.6 61.9 64.7
"1978-08-31" "1978-08-31" 65.9 66.1 73.4 63.1 62 62.4 65.1
"1978-09-30" "1978-09-30" 66.5 66.7 73.7 63.8 62.6 62.8 65.5
"1978-10-31" "1978-10-31" 67.1 67.2 74.3 64.5 63.3 63.3 65.7
"1978-11-30" "1978-11-30" 67.5 67.6 74.8 64.9 63.9 63.8 66
"1978-12-31" "1978-12-31" 67.9 68 75.2 65.2 64.5 64.1 66.2
"1979-01-31" "1979-01-31" 68.5 68.5 76.5 65.7 64.6 64.8 66.7
"1979-02-28" "1979-02-28" 69.2 69.2 77.7 66.5 65.2 65.2 67.2
"1979-03-31" "1979-03-31" 69.9 69.8 78.4 67 66.4 65.7 67.7
"1979-04-30" "1979-04-30" 70.6 70.3 78.9 67.7 67.8 66.1 68
"1979-05-31" "1979-05-31" 71.4 70.8 79.7 68.4 69.1 66.6 68.4
"1979-06-30" "1979-06-30" 72.2 71.3 80 69.3 70.5 67.1 68.7
"1979-07-31" "1979-07-31" 73 71.9 80.4 70.2 71.7 67.7 69.1
"1979-08-31" "1979-08-31" 73.7 72.7 80.3 71.2 72.7 68.2 69.8
"1979-09-30" "1979-09-30" 74.4 73.3 80.9 72.1 73.5 68.7 70.2
"1979-10-31" "1979-10-31" 75.2 74 81.5 73.1 74 69.2 70.4
"1979-11-30" "1979-11-30" 76 74.8 82.1 74.2 74.7 69.8 70.8
"1979-12-31" "1979-12-31" 76.9 75.7 82.8 75.2 75.8 70.6 71.3
"1980-01-31" "1980-01-31" 78 76.7 83.3 76.2 78 71.4 72.2
"1980-02-29" "1980-02-29" 79 77.5 83.4 77.2 79.8 72.3 72.9
"1980-03-31" "1980-03-31" 80.1 78.6 84.1 78.3 81.8 73 73.4
"1980-04-30" "1980-04-30" 80.9 79.5 84.6 79.4 82.2 73.6 73.8
"1980-05-31" "1980-05-31" 81.7 80.1 85.2 80.5 82.8 74.2 74.5
"1980-06-30" "1980-06-30" 82.5 81 85.7 82 82.7 74.7 75.1
"1980-07-31" "1980-07-31" 82.6 80.8 86.5 81.5 83.1 75.2 75.6
"1980-08-31" "1980-08-31" 83.2 81.3 87.9 81.8 83.7 75.6 76
"1980-09-30" "1980-09-30" 83.9 82.1 88.9 82.3 84.6 76.3 76.8
"1980-10-31" "1980-10-31" 84.7 83 89.6 83.4 85.3 76.9 77.1
"1980-11-30" "1980-11-30" 85.6 83.9 90.6 84.4 86.1 77.3 77.7
"1980-12-31" "1980-12-31" 86.4 84.9 91.2 85.5 86.8 77.8 78.6
"1981-01-31" "1981-01-31" 87.2 85.4 91.5 86.1 88.5 78.6 79.2
"1981-02-28" "1981-02-28" 88 85.9 92 86.6 90.7 79.2 79.7
"1981-03-31" "1981-03-31" 88.6 86.4 92.5 87.1 91.8 79.9 80.3
"1981-04-30" "1981-04-30" 89.1 87 92.6 87.8 91.7 80.7 80.9
"1981-05-31" "1981-05-31" 89.7 87.8 92.7 88.8 92.2 81.4 81.9
"1981-06-30" "1981-06-30" 90.5 88.6 93.1 89.8 92.7 82.3 82.5
"1981-07-31" "1981-07-31" 91.5 89.8 93.8 91.3 93.5 83.4 83
"1981-08-31" "1981-08-31" 92.2 90.7 94.3 92.2 93.9 84.3 83.5
"1981-09-30" "1981-09-30" 93.1 91.8 94.7 93.4 94.6 85.1 84.5
"1981-10-31" "1981-10-31" 93.4 92.1 94.8 93.4 95.5 85.9 85.3
"1981-11-30" "1981-11-30" 93.8 92.5 95 93.8 96.2 86.8 85.7
"1981-12-31" "1981-12-31" 94.1 93 95.2 94.1 96.4 87.5 86.3
"1982-01-31" "1982-01-31" 94.4 93.3 95.5 94.4 96.7 88.2 86.9
"1982-02-28" "1982-02-28" 94.7 93.8 96.2 94.7 96.2 88.8 87.7
"1982-03-31" "1982-03-31" 94.7 93.9 96.1 94.6 95.8 89.6 88.6
"1982-04-30" "1982-04-30" 95 94.7 96.3 95.4 94.5 90.5 89.3
"1982-05-31" "1982-05-31" 95.9 95.4 97.1 96.7 95.1 91.3 89.9
"1982-06-30" "1982-06-30" 97 96.1 98 97.7 97.2 92.2 90.4
"1982-07-31" "1982-07-31" 97.5 96.7 98.1 98.1 98.1 93 91.1
"1982-08-31" "1982-08-31" 97.7 97.1 97.9 98.4 98.2 93.9 91.6
"1982-09-30" "1982-09-30" 97.7 97.2 98 98.2 98 94.7 92.8
"1982-10-31" "1982-10-31" 98.1 97.5 98.1 98.6 98.2 95.5 94.3
"1982-11-30" "1982-11-30" 98 97.3 98.2 98.3 98.2 96.5 95.5
"1982-12-31" "1982-12-31" 97.7 97.2 98.1 97.5 97.7 97.2 96.7
"1983-01-31" "1983-01-31" 97.9 97.6 98 98 97.6 97.9 97.9
"1983-02-28" "1983-02-28" 98 98 98.2 98.2 96.9 98.8 98.7
"1983-03-31" "1983-03-31" 98.1 98.2 98.8 98.3 96.5 99 99
"1983-04-30" "1983-04-30" 98.8 98.6 99.2 98.9 97.8 99.4 99.7
"1983-05-31" "1983-05-31" 99.2 98.9 99.5 99.1 98.6 99.9 100
"1983-06-30" "1983-06-30" 99.4 99.2 99.6 99.3 99 100.4 100.6
"1983-07-31" "1983-07-31" 99.8 99.8 99.6 99.7 99.6 100.8 101.8
"1983-08-31" "1983-08-31" 100.1 100.1 99.6 99.8 100.4 101.4 102.5
"1983-09-30" "1983-09-30" 100.4 100.5 100 100.1 100.7 101.8 102.5
"1983-10-31" "1983-10-31" 100.8 101 100.3 100.4 101.1 102.3 103.3
"1983-11-30" "1983-11-30" 101.1 101.5 100.3 100.8 101.5 102.8 104
"1983-12-31" "1983-12-31" 101.4 101.8 100.6 101 101.5 103.4 104.4
"1984-01-31" "1984-01-31" 102.1 102.5 101.9 101.5 102 104 105.2
"1984-02-29" "1984-02-29" 102.6 102.8 102.5 102.1 102.2 105 105.7
"1984-03-31" "1984-03-31" 102.9 103.2 102.8 102.3 102.9 105.2 106.2
"1984-04-30" "1984-04-30" 103.3 103.7 102.8 102.9 103.3 105.8 106.6
"1984-05-31" "1984-05-31" 103.5 104.1 102.6 103.1 103.7 106.2 106.9
"1984-06-30" "1984-06-30" 103.7 104.5 103 103.3 103.9 106.7 107.6
"1984-07-31" "1984-07-31" 104.1 105 103.2 103.9 103.7 107.2 108.5
"1984-08-31" "1984-08-31" 104.4 105.4 103.8 104.2 103.8 107.7 108.9
"1984-09-30" "1984-09-30" 104.7 105.8 103.7 104.7 104.1 108.1 109.6
"1984-10-31" "1984-10-31" 105.1 106.2 103.9 104.9 104.8 108.7 110
"1984-11-30" "1984-11-30" 105.3 106.4 104 105.1 104.9 109.3 110.4
"1984-12-31" "1984-12-31" 105.5 106.8 104.4 105.3 104.7 109.8 110.8
"1985-01-31" "1985-01-31" 105.7 107.1 104.5 105.5 105.1 110.2 111.7
"1985-02-28" "1985-02-28" 106.3 107.7 105 106 105.6 110.8 112.4
"1985-03-31" "1985-03-31" 106.8 108.1 105.4 106.4 106.3 111.4 112.8
"1985-04-30" "1985-04-30" 107 108.4 105.3 106.7 106.8 112 113.2
"1985-05-31" "1985-05-31" 107.2 108.8 105.1 107.4 106.5 112.6 113.7
"1985-06-30" "1985-06-30" 107.5 109.1 105.4 107.6 106.5 113.3 114.1
"1985-07-31" "1985-07-31" 107.7 109.4 105.4 107.9 106.6 113.9 115
"1985-08-31" "1985-08-31" 107.9 109.8 105.5 108.3 106.2 114.6 115.4
"1985-09-30" "1985-09-30" 108.1 110 105.7 108.5 106.2 115.2 116.2
"1985-10-31" "1985-10-31" 108.5 110.5 105.9 108.9 106.5 115.8 116.6
"1985-11-30" "1985-11-30" 109 111.1 106.5 109.5 107 116.5 117.1
"1985-12-31" "1985-12-31" 109.5 111.4 107.3 109.8 107.5 117.1 117.8
"1986-01-31" "1986-01-31" 109.9 111.9 107.5 110.1 108 118 118.8
"1986-02-28" "1986-02-28" 109.7 112.2 107.4 110 107 118.8 119.3
"1986-03-31" "1986-03-31" 109.1 112.5 107.6 110.3 103.6 119.7 119.8
"1986-04-30" "1986-04-30" 108.7 112.9 107.8 110.4 101 120.4 120.2
"1986-05-31" "1986-05-31" 109 113.1 108.2 110.4 101.4 121.2 120.6
"1986-06-30" "1986-06-30" 109.4 113.4 108.3 110.9 102.3 121.8 120.9
"1986-07-31" "1986-07-31" 109.5 113.8 109.1 110.9 101.1 122.5 121.9
"1986-08-31" "1986-08-31" 109.6 114.2 110 111.1 100.1 123.2 122.5
"1986-09-30" "1986-09-30" 110 114.6 110.1 111.5 100.6 124 123.3
"1986-10-31" "1986-10-31" 110.2 115 110.4 111.6 100.5 124.7 123.6
"1986-11-30" "1986-11-30" 110.4 115.3 111 111.6 100.8 125.5 123.9
"1986-12-31" "1986-12-31" 110.8 115.6 111.3 111.9 101.1 126.2 124.3
"1987-01-31" "1987-01-31" 111.4 115.9 111.9 112.3 102.6 126.7 125.2
"1987-02-28" "1987-02-28" 111.8 116.2 112.2 112.7 103.5 127.2 125.8
"1987-03-31" "1987-03-31" 112.2 116.6 112.4 113 103.8 127.8 126.3
"1987-04-30" "1987-04-30" 112.7 117.3 112.6 113.5 104.3 128.6 126.9
"1987-05-31" "1987-05-31" 113 117.7 113.2 113.8 104.4 129.2 127.5
"1987-06-30" "1987-06-30" 113.5 117.9 113.8 114.1 105.1 130 128
"1987-07-31" "1987-07-31" 113.8 118.3 113.7 114.3 105.9 130.6 128.7
"1987-08-31" "1987-08-31" 114.3 118.7 113.9 114.9 106.6 131.2 128.9
"1987-09-30" "1987-09-30" 114.7 119.2 114.4 115.2 106.9 131.9 130
"1987-10-31" "1987-10-31" 115 119.8 114.6 115.5 107 132.4 130.7
"1987-11-30" "1987-11-30" 115.4 120.1 114.7 115.8 107.3 133 131.4
"1987-12-31" "1987-12-31" 115.6 120.4 115.2 116.1 107.2 133.5 132.1
"1988-01-31" "1988-01-31" 116 120.9 115.6 116.4 107 134.4 132.8
"1988-02-29" "1988-02-29" 116.2 121.2 115.7 116.8 107 135.2 133.8
"1988-03-31" "1988-03-31" 116.5 121.7 115.9 117.2 107 135.8 134.6
"1988-04-30" "1988-04-30" 117.2 122.3 116.5 117.6 107.5 136.7 135.2
"1988-05-31" "1988-05-31" 117.5 122.7 116.9 117.9 107.9 137.6 135.9
"1988-06-30" "1988-06-30" 118 123.2 117.6 118.3 108.3 138.3 136.5
"1988-07-31" "1988-07-31" 118.5 123.6 118.8 118.6 108.8 139.1 137.3
"1988-08-31" "1988-08-31" 119 124 119.4 119 109.7 139.8 138.3
"1988-09-30" "1988-09-30" 119.5 124.7 120 119.5 109.9 140.5 138.7
"1988-10-31" "1988-10-31" 119.9 125.2 120.3 119.9 110 141.4 139.6
"1988-11-30" "1988-11-30" 120.3 125.6 120.5 120.2 110.2 142 140.4
"1988-12-31" "1988-12-31" 120.7 126 121 120.6 110.4 142.7 141.1
"1989-01-31" "1989-01-31" 121.2 126.5 121.5 120.9 110.9 143.8 142.8
"1989-02-28" "1989-02-28" 121.6 126.9 122.3 121.1 111.7 144.9 143.6
"1989-03-31" "1989-03-31" 122.2 127.4 123.1 121.5 112.4 145.8 144.4
"1989-04-30" "1989-04-30" 123.1 127.8 123.7 121.9 115 146.6 145.2
"1989-05-31" "1989-05-31" 123.7 128.3 124.6 122.3 115.8 147.5 146.1
"1989-06-30" "1989-06-30" 124.1 128.8 124.9 122.7 115.7 148.6 147.2
"1989-07-31" "1989-07-31" 124.5 129.2 125.4 123.3 115.4 149.6 148.2
"1989-08-31" "1989-08-31" 124.5 129.5 125.7 123.7 114.5 150.6 149.3
"1989-09-30" "1989-09-30" 124.8 129.9 126.1 123.8 113.9 151.8 150.1
"1989-10-31" "1989-10-31" 125.4 130.6 126.7 124.5 114.5 152.8 150.9
"1989-11-30" "1989-11-30" 125.9 131.1 127.2 124.9 114.4 154.1 151.6
"1989-12-31" "1989-12-31" 126.3 131.6 127.7 125.4 114.7 154.9 152.8
"1990-01-31" "1990-01-31" 127.5 132.1 129.4 126.1 117 156 153.5
"1990-02-28" "1990-02-28" 128 132.7 130.5 126.2 117.2 157.1 154.3
"1990-03-31" "1990-03-31" 128.6 133.5 130.7 126.8 117.3 158.3 155.2
"1990-04-30" "1990-04-30" 128.9 134 130.6 127.1 117.7 159.6 156.2
"1990-05-31" "1990-05-31" 129.1 134.4 130.9 127.3 117.5 160.8 157.2
"1990-06-30" "1990-06-30" 129.9 135.1 131.8 128.1 118 162 158.6
"1990-07-31" "1990-07-31" 130.5 135.8 132.5 128.7 118.5 163.4 160.2
"1990-08-31" "1990-08-31" 131.6 136.6 132.9 129.7 120.7 164.8 161
"1990-09-30" "1990-09-30" 132.5 137.1 133.3 130.2 123.2 165.9 161.5
"1990-10-31" "1990-10-31" 133.4 137.6 133.8 130.6 125.6 167.3 162.3
"1990-11-30" "1990-11-30" 133.7 138 134.2 130.8 126.1 168.7 163.4
"1990-12-31" "1990-12-31" 134.2 138.6 134.3 131 126.9 169.8 164.4
"1991-01-31" "1991-01-31" 134.7 139.5 135.2 132 125.5 171 165.9
"1991-02-28" "1991-02-28" 134.8 140.2 135.7 132.4 123.9 172.1 166.9
"1991-03-31" "1991-03-31" 134.8 140.5 135.9 132.6 122.7 173.2 167.9
"1991-04-30" "1991-04-30" 135.1 140.9 136.6 132.7 122.5 174.3 169.2
"1991-05-31" "1991-05-31" 135.6 141.3 137.1 133.1 123.2 175.2 169.7
"1991-06-30" "1991-06-30" 136 141.8 137.8 133.2 123.4 176.4 170.9
"1991-07-31" "1991-07-31" 136.2 142.3 137.2 133.6 123.3 177.4 171.9
"1991-08-31" "1991-08-31" 136.6 142.9 136.8 133.8 124 178.8 172.8
"1991-09-30" "1991-09-30" 137 143.4 137 134.3 124.1 179.9 174.7
"1991-10-31" "1991-10-31" 137.2 143.7 136.9 134.7 123.9 180.9 175.4
"1991-11-30" "1991-11-30" 137.8 144.2 137.4 135.2 124.5 181.9 176.5
"1991-12-31" "1991-12-31" 138.2 144.7 137.6 135.6 125.1 183.1 177.4
"1992-01-31" "1992-01-31" 138.3 145.1 137.3 135.9 124.6 184.3 177.9
"1992-02-29" "1992-02-29" 138.6 145.4 137.8 136.1 124.5 185.6 179
"1992-03-31" "1992-03-31" 139.1 145.9 138.3 136.4 125 186.8 179.8
"1992-04-30" "1992-04-30" 139.4 146.3 138.2 136.7 125.6 187.9 180.7
"1992-05-31" "1992-05-31" 139.7 146.8 138.1 136.9 125.9 188.7 182.1
"1992-06-30" "1992-06-30" 140.1 147.1 138.4 137.4 126.4 189.6 182.4
"1992-07-31" "1992-07-31" 140.5 147.6 138.3 137.7 126.9 190.6 183.6
"1992-08-31" "1992-08-31" 140.8 147.9 139.1 137.9 127 191.5 184.4
"1992-09-30" "1992-09-30" 141.1 148.1 139.7 138.1 127 192.4 185.8
"1992-10-31" "1992-10-31" 141.7 148.8 139.7 138.6 128.1 193.5 186.9
"1992-11-30" "1992-11-30" 142.1 149.2 139.6 139 128.7 194.5 187.3
"1992-12-31" "1992-12-31" 142.3 149.6 139.6 139.2 128.9 195.3 189
"1993-01-31" "1993-01-31" 142.8 150.1 140 139.6 129.2 196.4 190.3
"1993-02-28" "1993-02-28" 143.1 150.6 140.4 139.6 129.6 197.4 191.1
"1993-03-31" "1993-03-31" 143.3 150.8 140.4 140 129.4 198.1 192.2
"1993-04-30" "1993-04-30" 143.8 151.4 140.8 140.6 129.6 199.1 192.9
"1993-05-31" "1993-05-31" 144.2 151.8 141.7 140.8 129.9 200.5 193.9
"1993-06-30" "1993-06-30" 144.3 152.1 141.4 141.2 129.9 201.3 194.1
"1993-07-31" "1993-07-31" 144.5 152.3 141.4 141.3 130.1 202.2 194.9
"1993-08-31" "1993-08-31" 144.8 152.8 141.9 141.7 130.5 202.8 193.8
"1993-09-30" "1993-09-30" 145 152.9 142.1 142 130.4 203.6 191.9
"1993-10-31" "1993-10-31" 145.6 153.4 142.7 142.3 132 204.5 192.4
"1993-11-30" "1993-11-30" 146 153.9 143 142.6 132.2 205.1 193.1
"1993-12-31" "1993-12-31" 146.3 154.3 143.5 143 132.1 205.8 194
"1994-01-31" "1994-01-31" 146.3 154.5 143.6 143.2 131.7 206.4 194.6
"1994-02-28" "1994-02-28" 146.7 154.8 143.4 143.7 132.3 207.2 195
"1994-03-31" "1994-03-31" 147.1 155.3 143.4 144.1 132.6 207.9 195.6
"1994-04-30" "1994-04-30" 147.2 155.5 143.7 144 132.8 209 196.8
"1994-05-31" "1994-05-31" 147.5 155.9 144 144.4 132.4 209.7 197.6
"1994-06-30" "1994-06-30" 147.9 156.4 144.4 144.6 133.2 210.5 198.7
"1994-07-31" "1994-07-31" 148.4 156.7 145.2 144.8 134.4 211.3 199.3
"1994-08-31" "1994-08-31" 149 157.1 145.6 145.3 136 212.2 199.8
"1994-09-30" "1994-09-30" 149.3 157.5 145.8 145.5 136.1 213.1 200.1
"1994-10-31" "1994-10-31" 149.4 157.8 145.8 145.7 136.2 214.1 200.8
"1994-11-30" "1994-11-30" 149.8 158.2 146.2 146 136.7 215 201.5
"1994-12-31" "1994-12-31" 150.1 158.3 147.2 146 137.1 215.9 202.3
"1995-01-31" "1995-01-31" 150.5 159 147.2 146.6 137.4 216.6 202.6
"1995-02-28" "1995-02-28" 150.9 159.4 147.7 146.9 137.9 217.4 204
"1995-03-31" "1995-03-31" 151.2 159.9 147.5 147.2 138.4 218.1 204.2
"1995-04-30" "1995-04-30" 151.8 160.4 148.5 147.6 139.2 218.6 204.7
"1995-05-31" "1995-05-31" 152.1 160.7 148.7 147.9 139.7 219.2 205.7
"1995-06-30" "1995-06-30" 152.4 161.1 148.8 148.2 140.6 219.9 206.4
"1995-07-31" "1995-07-31" 152.6 161.4 149 148.6 139.9 220.6 207
"1995-08-31" "1995-08-31" 152.9 161.8 149.1 149 139.4 221.6 208
"1995-09-30" "1995-09-30" 153.1 162.2 149.6 149.2 139.1 222.4 208.9
"1995-10-31" "1995-10-31" 153.5 162.7 150 149.8 139.5 223 209.6
"1995-11-30" "1995-11-30" 153.7 163 150 150 139.1 223.7 210.4
"1995-12-31" "1995-12-31" 153.9 163.1 150.3 150.3 139.1 224.3 210.8
"1996-01-31" "1996-01-31" 154.7 163.7 150.8 150.9 140.4 225.2 211.7
"1996-02-29" "1996-02-29" 155 164 151.2 151.2 140.9 225.7 212.5
"1996-03-31" "1996-03-31" 155.5 164.4 151.9 151.6 141.5 226.2 213.1
"1996-04-30" "1996-04-30" 156.1 164.6 152.5 151.9 142.9 226.8 213.7
"1996-05-31" "1996-05-31" 156.4 165 152.4 152.3 143.5 227.4 214.9
"1996-06-30" "1996-06-30" 156.7 165.4 153.3 152.4 143.4 228 215.1
"1996-07-31" "1996-07-31" 157 165.7 153.8 153 143 228.6 215.8
"1996-08-31" "1996-08-31" 157.2 166 154.3 153.4 143 229.1 216.4
"1996-09-30" "1996-09-30" 157.7 166.5 155 153.7 143.6 229.7 217
"1996-10-31" "1996-10-31" 158.2 166.8 155.9 154 143.9 230.3 217.6
"1996-11-30" "1996-11-30" 158.7 167.2 156.4 154.4 144.6 231 218.5
"1996-12-31" "1996-12-31" 159.1 167.4 156.6 154.7 145.7 231.2 218.4
"1997-01-31" "1997-01-31" 159.4 167.8 156.3 155.3 145.6 231.8 219.7
"1997-02-28" "1997-02-28" 159.7 168.1 156.9 155.7 145.2 232.2 220.5
"1997-03-31" "1997-03-31" 159.8 168.4 157 155.7 145 233 221.5
"1997-04-30" "1997-04-30" 159.9 168.9 157 156 144.3 233.5 223.1
"1997-05-31" "1997-05-31" 159.9 169.2 157.1 156.2 143.3 234.1 223.9
"1997-06-30" "1997-06-30" 160.2 169.4 157.4 156.6 143.6 234.4 224.2
"1997-07-31" "1997-07-31" 160.4 169.7 157.7 156.9 143.3 234.7 224.8
"1997-08-31" "1997-08-31" 160.8 169.8 158.2 157.1 144.1 235.1 225.9
"1997-09-30" "1997-09-30" 161.2 170.2 158.4 157.5 144.8 235.5 226.8
"1997-10-31" "1997-10-31" 161.5 170.6 158.7 157.8 144.7 236.1 228.3
"1997-11-30" "1997-11-30" 161.7 170.8 159 158.3 143.9 236.9 229.2
"1997-12-31" "1997-12-31" 161.8 171.2 159.2 158.4 143.7 237.8 229.8
"1998-01-31" "1998-01-31" 162 171.6 159.9 158.7 143 238.1 231.3
"1998-02-28" "1998-02-28" 162 171.9 159.9 158.8 142.4 238.8 233.1
"1998-03-31" "1998-03-31" 162 172.2 160.1 159.2 141.5 239.4 232.4
"1998-04-30" "1998-04-30" 162.2 172.5 160.2 159.6 140.9 240.3 234.7
"1998-05-31" "1998-05-31" 162.6 172.9 160.7 160 141.2 241.2 236.7
"1998-06-30" "1998-06-30" 162.8 173.2 160.6 160.2 141.4 241.8 236.4
"1998-07-31" "1998-07-31" 163.2 173.5 161 160.5 141.7 242.5 237.8
"1998-08-31" "1998-08-31" 163.4 174 161.4 160.8 141.6 243.3 238
"1998-09-30" "1998-09-30" 163.5 174.2 161.5 161.1 141.2 244.1 240.4
"1998-10-31" "1998-10-31" 163.9 174.4 162.4 161.5 141.4 244.8 241.3
"1998-11-30" "1998-11-30" 164.1 174.8 162.7 161.9 141.3 245.3 240.5
"1998-12-31" "1998-12-31" 164.4 175.4 162.8 162.2 140.9 245.9 250.3
"1999-01-31" "1999-01-31" 164.7 175.6 163.4 162.2 140.8 246.5 255.5
"1999-02-28" "1999-02-28" 164.7 175.6 163.8 162.4 140 247.3 254.9
"1999-03-31" "1999-03-31" 164.8 175.7 163.7 162.7 140.7 247.9 253.1
"1999-04-30" "1999-04-30" 165.9 176.3 163.9 163.1 143.6 248.7 255.9
"1999-05-31" "1999-05-31" 166 176.5 164.2 163.3 143.4 249.3 255.6
"1999-06-30" "1999-06-30" 166 176.6 164.1 163.6 143 250 255.7
"1999-07-31" "1999-07-31" 166.7 177.1 164.4 164 144.6 250.9 258.3
"1999-08-31" "1999-08-31" 167.1 177.3 164.7 164.3 145.9 251.7 257.7
"1999-09-30" "1999-09-30" 167.8 177.8 165.1 164.9 147 252.5 262.7
"1999-10-31" "1999-10-31" 168.1 178.1 165.5 165.1 147.6 253.1 263.2
"1999-11-30" "1999-11-30" 168.4 178.4 165.8 165.5 147.5 253.9 263
"1999-12-31" "1999-12-31" 168.8 178.7 166 165.7 148.8 254.9 263.3
"2000-01-31" "2000-01-31" 169.3 179.3 166.1 166.5 149.1 255.6 264.8
"2000-02-29" "2000-02-29" 170 179.4 166.7 167.3 150 256.5 266.7
"2000-03-31" "2000-03-31" 171 180 167.1 167.7 153.6 257.7 267.8
"2000-04-30" "2000-04-30" 170.9 180.3 167.2 167.9 152.1 258.4 271.7
"2000-05-31" "2000-05-31" 171.2 180.7 167.8 168.3 152 259.2 270
"2000-06-30" "2000-06-30" 172.2 181.1 168 169.2 155 260.3 269.5
"2000-07-31" "2000-07-31" 172.7 181.5 168.8 169.9 154.6 261.2 272.3
"2000-08-31" "2000-08-31" 172.7 181.9 169.3 170.2 153.2 262.4 271.7
"2000-09-30" "2000-09-30" 173.6 182.3 169.4 171.1 155.2 263.3 274.8
"2000-10-31" "2000-10-31" 173.9 182.6 169.6 171.8 154.7 264.1 273
"2000-11-30" "2000-11-30" 174.2 183.1 169.7 172.2 155 264.7 276.3
"2000-12-31" "2000-12-31" 174.6 183.3 170.5 172.8 155.1 265.6 274.5
"2001-01-31" "2001-01-31" 175.6 183.9 170.9 174.5 155.4 267.2 276
"2001-02-28" "2001-02-28" 176 184.4 171.7 174.9 155.2 268.3 277.2
"2001-03-31" "2001-03-31" 176.1 184.7 172.2 175.3 154.2 269.4 277.4
"2001-04-30" "2001-04-30" 176.4 185.1 172.6 175.4 154.8 270.4 281.1
"2001-05-31" "2001-05-31" 177.3 185.3 172.9 176.1 157.6 271.3 279.9
"2001-06-30" "2001-06-30" 177.7 186 173.5 176.8 157.3 272.4 281.1
"2001-07-31" "2001-07-31" 177.4 186.4 174.1 176.8 154 272.8 285.9
"2001-08-31" "2001-08-31" 177.4 186.7 174.5 177.1 153.4 274.3 283.4
"2001-09-30" "2001-09-30" 178.1 187.1 174.7 177 156 275.2 287.9
